activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8875392009,Evening Workout,2023-04-12,Functional-Cardio Workout,0,16.2,194,0,,NaN,,NaN,0,0,29,150,179,5.393333333,3,1,10,15,1,20,30,5,10,1,1,94,No Effort,1
8869251524,Evening Workout,2023-04-11,Functional-Cardio Workout,0,20.45,246,0,,NaN,,NaN,0,0,30,147.2,168,4.076,5,1,15,25,1,20,25,1,25,1,1,115,Low Effort,2
8862861001,Evening Yoga,2023-04-09,Yoga,0,19.78,106,0,,NaN,,NaN,0,0,31,100.6,140,19.78,1,1,10,15,1,10,15,10,5,1,1,69,No Effort,1
8857166258,Afternoon Workout,2023-04-08,Functional-Cardio Workout,0,28.65,304,0,,NaN,,NaN,0,0,31,139.9,170,5.724,5,1,20,35,1,15,25,5,25,1,1,129,Medium Effort,3
8849667738,Lunch Workout,2023-04-07,Functional-Cardio Workout,0,28.93,312,0,,NaN,,NaN,0,0,23,138.8,170,4.813333333,6,1,20,35,1,15,25,1,35,1,1,135,Medium Effort,3
8834354201,Evening Weight Training,2023-04-05,WeightTraining,0,33.1,310,0,,NaN,,NaN,0,0,32,129,164,33.1,1,1,25,35,1,10,15,20,5,1,1,114,Low Effort,2
8828116209,Evening Workout,2023-04-04,Functional-Cardio Workout,0,26.2,258,0,,NaN,,NaN,0,0,32,139.5,173,5.23,5,1,20,25,1,15,25,5,25,1,1,119,Low Effort,2
8821557138,Afternoon Workout,2023-04-02,Functional-Cardio Workout,0,41.62,345,0,,NaN,,NaN,0,0,33,126.8,174,8.326,5,1,35,35,1,10,25,5,25,1,1,139,Medium Effort,3
8815449705,Afternoon Run,2023-04-01,Run,8.29,61.07,768,31,27.46754363,-99.50653405,27.466874,-99.50599987,8.1432,12.78,35,165.7,187,6.777777778,9,10,50,70,5,35,35,5,35,15,15,275,High Effort,4
8806111423,Evening Workout,2023-03-31,Functional-Cardio Workout,0,37.9,363,0,,NaN,,NaN,0,0,26,145.9,188,4.7275,8,1,30,35,1,20,35,1,35,1,1,160,High Effort,4
8799988893,Afternoon Workout,2023-03-29,Functional-Cardio Workout,0,21.6,246,0,,NaN,,NaN,0,0,30,145.4,170,4.312,5,1,15,25,1,20,25,1,25,1,1,115,Low Effort,2
