,activity_id,sport_type,distance,workout_time_min,calories,total_elevation_gain,average_speed_km/h,max_speed_km/h,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score
21,8715744482,MountainBikeRide,19.84,95.3,571.0,260.0,14.263200000000001,34.7184,117.6,144.0,31.75,3,25,50,50,15,10,15,20,10,20,25
22,8710745438,Functional-Cardio Workout,0.0,46.5,371.0,0.0,0.0,0.0,127.2,163.0,9.294,5,1,40,35,1,10,15,5,25,1,1
23,8698197610,Functional-Cardio Workout,0.0,31.3,332.0,0.0,0.0,0.0,144.2,173.0,6.254,5,1,25,35,1,15,25,5,25,1,1
24,8693453841,Hike,8.78,186.55,893.0,452.0,3.8916,8.1432,113.7,152.0,186.55,1,5,50,80,25,10,15,20,5,5,10
25,8688907431,MountainBikeRide,13.48,75.07,513.0,160.0,13.064400000000001,26.733600000000003,125.9,156.0,37.525,2,20,50,50,10,10,15,20,5,15,20
26,8683360176,Functional-Cardio Workout,0.0,107.15,448.0,0.0,0.0,0.0,106.7,158.0,17.84166667,6,1,50,40,1,10,15,10,35,1,1
27,8677673116,Functional-Cardio Workout,0.0,48.5,435.0,0.0,0.0,0.0,127.2,158.0,8.076666667,6,1,40,40,1,10,15,5,35,1,1
28,8672944578,Walk,6.29,112.32,425.0,43.0,3.9708,7.009200000000001,82.1,98.0,28.045,4,5,50,40,5,5,10,15,20,5,10
29,8672611987,Ride,0.0,47.92,133.0,0.0,0.0,0.0,80.8,91.0,47.9,1,1,40,15,1,5,10,20,5,5,5
30,8655132144,Functional-Cardio Workout,0.0,37.58,400.0,0.0,0.0,0.0,140.6,173.0,6.255,6,1,30,40,1,15,25,5,35,1,1
31,8650266138,Functional-Cardio Workout,0.0,57.88,561.0,0.0,0.0,0.0,146.1,181.0,57.88,1,1,45,50,1,20,30,20,5,1,1
32,8644587607,Functional-Cardio Workout,0.0,36.9,367.0,0.0,0.0,0.0,148.2,177.0,7.372,5,1,30,35,1,20,30,5,25,1,1
33,8639260773,MountainBikeRide,12.71,53.33,457.0,169.0,15.4908,34.8984,128.1,157.0,26.65,2,20,0,40,10,10,15,15,5,20,25
34,8633145882,Run,6.09,39.5,477.0,59.0,10.087200000000001,18.6768,156.0,169.0,5.635714286,7,10,30,40,5,30,25,5,35,30,20
35,8611884034,Functional-Cardio Workout,0.0,6.43,0.0,0.0,0.0,0.0,77.3,84.0,0.08012658228,79,1,1,5,1,5,10,1,35,1,1
36,8606708676,Functional-Cardio Workout,0.0,35.42,335.0,0.0,0.0,0.0,135.2,167.0,7.072,5,1,30,35,1,15,25,5,25,1,1
37,8600932618,Functional-Cardio Workout,0.0,16.6,218.0,0.0,0.0,0.0,153.7,173.0,3.31,5,1,10,25,1,20,25,1,25,1,1
38,8600850460,MountainBikeRide,14.01,76.98,571.0,187.0,13.41,29.97,133.2,166.0,38.49,2,20,50,50,10,15,25,20,5,15,20
39,8594917333,Run,6.08,43.68,524.0,91.0,8.3664,13.3812,158.2,174.0,6.228571429,7,10,35,50,5,30,25,5,35,15,15
40,8587870096,Functional-Cardio Workout,0.0,19.68,209.0,0.0,0.0,0.0,141.1,171.0,3.926,5,1,10,25,1,15,25,1,25,1,1
41,8587667353,Run,6.13,41.67,485.0,82.0,8.838000000000001,15.3792,145.4,167.0,5.942857143,7,10,35,40,5,20,25,5,35,15,20
42,8578513389,MountainBikeRide,6.63,59.43,226.0,103.0,11.34,27.1152,109.0,133.0,59.43,1,10,45,25,10,10,15,20,5,10,20
43,8573739485,Run,5.02,33.63,394.0,53.0,10.206,15.562800000000001,150.9,166.0,5.598333333,6,10,25,35,5,20,25,5,35,30,20
44,8567397324,Functional-Cardio Workout,0.0,43.3,416.0,0.0,0.0,0.0,140.8,186.0,7.21,6,1,35,40,1,15,35,5,35,1,1
45,8562727659,MountainBikeRide,14.05,79.17,574.0,190.0,13.3956,26.258399999999998,130.5,161.0,39.57,2,20,50,50,10,15,15,20,5,15,20
46,8556464236,Functional-Cardio Workout,0.0,30.8,337.0,0.0,0.0,0.0,147.1,173.0,6.148,5,1,25,35,1,20,25,5,25,1,1
47,8545358774,MountainBikeRide,12.48,72.77,418.0,142.0,13.2696,33.8688,117.6,150.0,36.375,2,20,50,40,10,10,15,20,5,15,25
48,8538434119,TrailRun,6.0,88.95,546.0,346.0,5.8751999999999995,14.0688,137.6,177.0,17.782,5,10,50,50,20,15,30,10,25,10,15
49,8534745466,Functional-Cardio Workout,0.0,52.23,462.0,0.0,0.0,0.0,136.8,189.0,8.698333333,6,1,0,40,1,15,35,5,35,1,1
50,8529443857,MountainBikeRide,12.17,57.07,403.0,158.0,13.4028,34.516799999999996,119.9,140.0,28.5,2,20,45,40,10,10,15,15,5,15,25
