,id
166,4447470450
167,4443800257
168,4443766710
169,4433872817
170,4428490221
171,4426687692
172,4416547886
173,4414219567
174,4410131989
175,4403171889
176,4402983140
177,4395781145
178,4395762133
179,4395672341
180,4388621298
181,4386058345
182,4385898009
183,4381362900
184,4381303295
185,4376927496
186,4364591178
187,4364471732
188,4361668103
189,4280596333
190,4262058950
191,4224257664
192,4215572416
193,4192009064
194,4132992629
195,3557682383
196,3547418838
197,3517497833
198,3516568449
199,3509004014
0,3496090180
1,3483200309
