,activity_id,sport_type,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score
652,4364471732,Run,10,50,90,5,5,5,20,5,15,15,220
653,4361668103,Run,1,10,5,1,5,5,10,5,1,1,44
654,4280596333,Run,25,50,90,5,5,5,20,5,15,20,240
655,4262058950,Run,30,50,100,5,5,5,20,5,15,20,255
656,4224257664,Run,10,50,80,5,5,5,20,5,15,20,215
657,4215572416,Run,5,15,35,5,5,5,15,5,25,20,135
658,4192009064,Run,5,25,40,5,5,5,20,5,15,20,145
659,4132992629,Run,5,30,40,5,5,5,20,5,15,30,160
660,3557682383,Run,5,20,35,5,5,5,15,5,15,25,135
661,3547418838,Run,5,25,35,5,5,5,20,5,15,20,140
662,3517497833,Run,5,20,35,5,5,5,15,5,15,20,130
663,3516568449,Ride,15,30,5,5,5,5,20,5,20,30,140
664,3509004014,Run,5,30,40,5,5,5,20,5,15,20,150
665,3496090180,Run,5,25,35,5,5,5,20,5,10,20,135
666,3483200309,Run,5,30,40,5,5,5,20,5,15,25,155
